Unnamed: 0,city,class,mfcc,chroma
0,airplanecrash 1,positive,"[-3.22835429e+02  1.49545839e+02 -4.79332899e+01 -1.76455284e+01
  3.04629311e+01 -1.03144336e+01 -1.05715407e+01  1.36946399e+01
 -2.42815866e+00 -3.37594787e+00  1.34489356e+01  1.76686356e+00
 -5.31017880e+00  8.24938196e+00  2.92101300e+00 -8.20725129e+00
  7.56896485e-01  3.27630663e+00 -6.34584910e+00 -3.07543647e+00
  2.82888128e+00 -2.90998719e+00 -3.89459308e+00  7.06799959e-01
 -1.28067702e+00 -1.61597116e+00  1.99279093e+00  1.24081384e-01
 -8.57217147e-01  2.42425112e+00  6.26843979e-01 -1.62857463e+00
  1.83859934e+00  1.95646102e+00 -1.28569159e+00  3.91120881e-01
  1.65418347e+00 -6.47906148e-01  3.79062757e-01  2.55738232e+00]","[0.60859313 0.61404503 0.65376644 0.69373936 0.73658313 0.74247592
 0.67700379 0.62397736 0.62616957 0.64295181 0.68844666 0.667549  ]"
1,airplanecrash 1,positive,"[-3.40457641e+02  1.50567310e+02 -4.52540855e+01 -1.73992092e+01
  3.10145679e+01 -4.92312053e+00 -6.28275706e+00  1.38108151e+01
 -6.40853688e-01 -2.25899183e+00  1.07414350e+01  2.05789259e+00
 -3.26955512e+00  5.60121175e+00  1.60800937e+00 -5.58370213e+00
 -1.87575753e-01  9.61767155e-01 -4.61210100e+00 -2.50518257e+00
  7.60868890e-01 -2.15218137e+00 -2.37729818e+00 -1.60970498e-02
 -1.42059478e+00 -1.37827824e+00  7.69593036e-01 -2.96495124e-01
 -7.06226791e-01  1.49481604e+00  9.61134791e-01 -4.08830565e-01
  1.29445671e+00  1.75168692e+00 -5.28782015e-02  9.55522368e-01
  2.30405439e+00  6.60682291e-01  5.88297387e-01  2.23642004e+00]","[0.71985773 0.70521119 0.70615654 0.72445179 0.74660205 0.78711948
 0.78336442 0.72630284 0.72248699 0.71504679 0.71908709 0.73834278]"
2,airplanecrash 1,positive,"[-4.26554532e+02  1.06516615e+02 -2.38169340e+01 -1.08296002e+01
  1.97667461e+01  1.57933628e+00  9.85988638e-01  1.08279503e+01
  3.29262199e+00  2.40793720e+00  7.21197090e+00  2.77022160e+00
  8.22592932e-01  3.71521892e+00  1.90158500e+00 -3.19448154e-02
  1.07032490e+00  7.35949394e-01 -4.37286290e-01  7.03515665e-01
  1.22312214e+00 -7.99838286e-02  2.95317918e-02  8.99125679e-01
 -5.31451245e-02  2.12724577e-01  1.74874790e+00  1.01349938e+00
  4.47400998e-01  2.16864463e+00  2.15373175e+00  1.05426377e+00
  1.77903923e+00  2.11397065e+00  1.29220637e+00  1.82174662e+00
  2.20048454e+00  1.49449653e+00  1.58431240e+00  1.94943645e+00]","[0.81643742 0.79118797 0.77736075 0.77797624 0.79382838 0.8065732
 0.81174491 0.80235241 0.80591721 0.80869862 0.83131411 0.81990715]"
3,airplanecrash 1,positive,"[-3.73072251e+02  1.31581095e+02 -3.58899304e+01 -2.35650368e+01
  1.90656145e+01 -5.19207209e+00 -8.44562849e+00  1.02174563e+01
  2.38590440e+00 -2.65034838e+00  7.20389876e+00  4.77272343e+00
 -6.67013323e-01  4.73335502e+00  4.85721479e+00 -6.72178738e-01
  1.09120781e+00  2.46960189e+00 -1.32364938e+00 -5.04454050e-01
  1.98150511e+00 -7.65057275e-01 -1.87454725e+00  3.42805401e-01
 -3.86586869e-01 -7.11829783e-01  1.76700690e+00  1.20963580e+00
 -2.58468397e-01  1.68713238e+00  2.13401829e+00  1.03584544e-01
  9.38091378e-01  2.42823421e+00  1.10010523e+00  9.62474066e-01
  2.10022554e+00  1.28281179e+00  1.13121359e+00  2.24917303e+00]","[0.76759943 0.73956079 0.73319483 0.74072885 0.7566661  0.75229892
 0.74185323 0.73049535 0.73604595 0.76741472 0.79636589 0.7955438 ]"
4,airplanecrash 1,positive,"[-3.17467713e+02  1.75584585e+02 -5.93912259e+01 -2.53508557e+01
  3.03533866e+01 -9.55780107e+00 -1.00543516e+01  1.07032334e+01
 -3.34946331e+00 -2.51449618e+00  1.20314478e+01  1.90204217e+00
 -5.01617899e+00  4.64881228e+00  1.83805782e+00 -4.53569199e+00
 -2.89839157e-02 -6.76565187e-01 -4.66635699e+00 -1.11326621e+00
  1.75273324e-01 -3.06037046e+00 -1.45500215e+00 -4.59259463e-01
 -2.88017499e+00 -2.86792738e-01  1.28104334e+00 -2.06198603e+00
 -1.49540651e-01  2.68249100e+00 -5.97559446e-01 -7.48339708e-01
  2.75786928e+00  8.95990643e-01 -1.34181168e+00  1.55237343e+00
  2.15798644e+00 -1.84709108e-01  6.72277859e-01  1.65585015e+00]","[0.67952788 0.66336541 0.68113549 0.72960287 0.73758453 0.7605582
 0.78187402 0.72883617 0.69996755 0.68888494 0.71281566 0.70806842]"
5,airplanecrash 1,positive,"[-3.11750163e+02  1.59613836e+02 -4.78938998e+01 -2.46428298e+01
  2.60728004e+01 -7.69578056e+00 -1.12664140e+01  8.26084975e+00
 -1.55779612e+00 -1.48705475e+00  1.06058306e+01  2.84462828e+00
 -3.34413373e+00  3.83560104e+00  1.87587215e+00 -3.15898850e+00
 -2.08097923e-01 -1.62448591e+00 -4.46057293e+00 -3.65738502e-01
 -9.00644915e-02 -3.51005778e+00 -8.57730837e-01  1.87453540e-01
 -2.68711437e+00  6.71966769e-02  1.99559699e+00 -1.86020908e+00
 -5.61290458e-01  3.19341272e+00  1.61636184e-02 -1.33151334e+00
  2.55745857e+00  1.77776137e+00 -9.26602353e-01  1.41008126e+00
  2.38487944e+00 -9.15770581e-02  6.04233522e-01  1.98138405e+00]","[0.70875073 0.69425458 0.70030804 0.70855943 0.71826843 0.75359553
 0.77671576 0.75047958 0.71130077 0.68361521 0.68243337 0.70034756]"
6,airplanecrash 1,positive,"[-323.57859121  169.09795769  -51.41109029  -28.71438241   27.47418259
   -6.88697362  -11.81408376   10.36999429    1.70554982   -2.36256163
    7.12226837    3.79302695   -0.58093998    3.408349      3.1792034
   -0.44523198   -0.5685937    -0.93943518   -2.18209317   -1.37298206
   -1.68005524   -3.10161535   -1.80589571   -0.85893853   -2.02308568
   -1.00409111    0.61440708   -0.64219838   -1.09576752    0.73441387
    0.64576179   -0.49750753    1.04869788    2.02066751    0.38554413
    0.9786345     2.47661908    0.49817272   -0.34142966    1.40130931]","[0.73697641 0.71430371 0.69524773 0.66173067 0.67248916 0.70360661
 0.72422818 0.73140173 0.72563104 0.71407273 0.73189925 0.74286339]"
7,airplanecrash 1,positive,"[-2.86640478e+02  1.77021037e+02 -5.99834842e+01 -2.85112650e+01
  3.01928862e+01 -9.88224451e+00 -1.43008561e+01  8.24623922e+00
 -3.43154616e+00 -2.70239664e+00  1.08407228e+01  2.00655367e+00
 -3.35773737e+00  6.14964582e+00  3.03290468e+00 -3.88158377e+00
 -4.80720926e-01 -6.97181869e-01 -4.57792202e+00 -1.57273994e+00
 -8.15781723e-01 -3.93406854e+00 -1.49330465e+00 -3.53391838e-01
 -3.50042009e+00 -8.83264382e-01  1.15356368e+00 -2.73187357e+00
 -1.39534142e+00  2.50092795e+00 -1.63749946e-01 -1.06497523e+00
  2.48050630e+00  1.35202413e+00 -9.94927575e-01  1.78271777e+00
  2.41302576e+00 -7.83698988e-01 -4.17776109e-01  1.18579272e+00]","[0.65983713 0.67732122 0.67398004 0.66988046 0.68453773 0.70336975
 0.72378034 0.69795215 0.70662797 0.697712   0.67663381 0.65969314]"
8,airplanecrash 1,positive,"[-2.94368195e+02  1.54813103e+02 -4.69057704e+01 -3.26986850e+01
  2.16770076e+01 -5.47785561e+00 -1.22946916e+01  9.70967108e+00
  2.82027710e+00 -3.00720680e+00  7.83481612e+00  4.47814025e+00
 -2.66249410e+00  3.25833345e+00  3.94790213e+00 -2.09814772e+00
 -8.47819880e-01  4.26374623e-01 -2.82357608e+00 -1.53370297e+00
  4.35252758e-01 -2.39703983e+00 -2.19862212e+00 -6.89743268e-03
 -2.05850065e+00 -2.10554281e+00  8.39137154e-01 -3.68737248e-01
 -1.82178063e+00  8.40398659e-01  1.35260038e+00 -3.62663989e-01
  1.29600188e+00  2.09724894e+00  1.60824146e-01  9.91748856e-01
  1.90511755e+00  1.88174625e-02  4.24983271e-01  2.01493495e+00]","[0.7392475  0.73079162 0.71567786 0.72260861 0.71711671 0.74159569
 0.76466313 0.72526984 0.74114864 0.75436804 0.74609534 0.74488702]"
9,airplanecrash 1,positive,"[-3.10361729e+02  1.49528141e+02 -5.11054507e+01 -2.19161582e+01
  2.63060654e+01 -6.60468638e+00 -5.94985309e+00  1.22816984e+01
 -1.33628447e+00 -7.25349878e-01  1.12829349e+01  7.46758042e-01
 -5.03419476e+00  5.41461226e+00  2.72129410e+00 -4.65397990e+00
 -1.39780658e-01  2.01486207e-01 -4.59733828e+00 -1.17347785e+00
  9.59237570e-01 -3.02934992e+00 -2.27980870e+00 -1.25087373e+00
 -3.82574118e+00 -1.41638121e+00  8.42732864e-01 -1.75406791e+00
  2.51565107e-01  3.46617104e+00  4.17630965e-01 -2.75493383e-01
  3.08862813e+00  1.57058420e+00 -2.63614079e-01  2.37282220e+00
  1.79341683e+00 -1.14282413e+00  3.11000028e-02  1.06653908e+00]","[0.61574978 0.606772   0.64752024 0.66481791 0.69713948 0.74040747
 0.73401307 0.69893666 0.66466594 0.66673365 0.67829076 0.67855199]"
