,city,class,mfcc,chroma
0,pittsburg 1,negative,"[-2.16353688e+02  1.14280287e+02 -1.21566734e+02 -3.12442756e+01
  5.46595753e+00 -4.06839651e+01 -1.69259549e+01 -4.32943049e+00
 -1.59795218e+01  1.03067330e+00  6.95649327e+00 -2.97148518e+00
  4.04286346e+00  1.36093716e+01  5.95376022e+00  4.63140734e+00
  1.09728486e+01  8.32941526e+00  6.87294822e+00  7.27932287e+00
  5.52368285e+00  6.67862394e+00  5.17806003e+00  1.63031782e+00
  3.88348615e+00  6.06265565e+00  2.12067860e+00  1.81014259e+00
  5.23358856e+00  1.98832777e+00 -1.24077728e-01  2.13490023e+00
  5.63899237e-01 -4.29690977e-01 -1.34678767e-01 -2.31148866e+00
 -1.34339780e+00 -1.34762664e+00 -4.51032518e+00 -1.93480382e+00]","[0.56335354 0.57948062 0.64712536 0.67486684 0.69788636 0.68988023
 0.68899372 0.68169908 0.68079232 0.67539489 0.66819724 0.64947834]"
1,pittsburg 1,negative,"[-2.31715256e+02  1.11420823e+02 -1.05274680e+02 -2.87493545e+01
  7.84524853e+00 -3.28699785e+01 -1.43752782e+01 -2.71517144e-01
 -1.12889206e+01  1.18294249e+00  7.82264484e+00 -2.30627747e+00
  2.06035118e+00  1.34452450e+01  6.25133768e+00  1.95052818e+00
  8.85185929e+00  7.82910331e+00  2.94619068e+00  4.55441657e+00
  4.97168223e+00  2.47281192e+00  1.65683822e+00  4.89701780e-01
 -6.29382288e-02  1.21149194e+00 -2.16020945e+00 -4.84665985e+00
 -1.48736788e+00 -3.25875229e+00 -6.73403338e+00 -4.66489706e+00
 -3.11906707e+00 -3.02102786e+00 -3.89631535e+00 -4.34451542e+00
 -1.31252790e+00 -1.92826968e+00 -4.64602533e+00 -1.37185351e+00]","[0.5479376  0.56811932 0.61922965 0.63189976 0.65728544 0.6925505
 0.70942894 0.64957143 0.64143272 0.64014742 0.67777135 0.68151284]"
2,pittsburg 1,negative,"[-316.97486065   91.03193108  -60.20167407  -20.49671375    9.0909341
  -15.11125437   -6.28298955    5.6396094    -2.05975209    3.26684037
    8.66862842    1.34917015    3.08399132   11.60127398    6.98592593
    2.30513953    5.98944472    5.6050581     1.68909616    2.01183245
    3.75526453    0.90966907   -2.45661387   -2.3869411    -2.30339507
   -2.27809829   -3.42323019   -4.32626551   -3.26152277   -5.32140466
   -8.10270723   -7.15158901   -5.12260426   -4.06639609   -5.27304311
   -5.5860232    -3.17497237   -4.56857635   -6.59409722   -2.49605743]","[0.62771524 0.60743192 0.61959831 0.65704292 0.65092084 0.68713829
 0.73336261 0.66106774 0.63032976 0.63598858 0.69405299 0.81602035]"
3,pittsburg 1,negative,"[-3.45181809e+02  6.89724593e+01 -5.59454837e+01 -1.12616887e+01
  5.82793163e+00 -1.67058491e+01 -3.06389514e+00  4.07147739e+00
 -3.13942479e+00  2.30752590e+00  5.43642162e+00  5.85231182e-01
  2.73496535e+00  9.25763272e+00  5.98284426e+00  3.47810804e+00
  6.84574102e+00  4.81265047e+00  2.69265836e+00  5.49198954e+00
  6.27463578e+00  3.31144348e+00  1.84983392e+00  1.25136493e+00
  7.94376770e-01  3.39515416e+00  2.26029138e+00  4.93255576e-01
  3.98446355e+00  1.41311351e+00 -2.56685832e+00  4.88591979e-01
  1.22036493e+00  5.46818443e-01  3.79393711e-01 -9.00367387e-01
  7.22476695e-02 -1.12860204e+00 -2.76063032e+00  7.92677829e-01]","[0.72145485 0.6226212  0.62727659 0.67916271 0.67117561 0.67669993
 0.76614111 0.66616078 0.5785283  0.57254467 0.62140095 0.86633002]"
4,pittsburg 1,negative,"[-2.73445748e+02  1.07536968e+02 -8.38538898e+01 -2.36700893e+01
  6.98921049e+00 -2.41671160e+01 -8.47612648e+00  1.87657511e+00
 -7.97193891e+00  1.79983139e+00  7.55956425e+00 -4.94734997e-02
  3.45415889e+00  1.28596402e+01  7.34156423e+00  2.80257560e+00
  8.18682453e+00  7.18096282e+00  2.54809523e+00  3.27254297e+00
  3.98494599e+00  1.70651445e+00 -5.96170437e-01 -9.43725515e-01
 -5.77732225e-01  5.69411019e-01 -1.59000190e+00 -3.70928646e+00
 -1.56967600e+00 -3.54798212e+00 -7.42415074e+00 -5.98340803e+00
 -3.74031930e+00 -3.81126959e+00 -5.50180746e+00 -5.81700284e+00
 -3.17254724e+00 -4.32589801e+00 -6.24578289e+00 -1.97062401e+00]","[0.60565392 0.59822775 0.63216642 0.6473728  0.65357444 0.68504614
 0.71205587 0.65539205 0.63457444 0.64051746 0.70855762 0.77091626]"
5,pittsburg 1,negative,"[-2.82302752e+02  9.48684872e+01 -8.22784548e+01 -2.43662584e+01
  3.29262450e+00 -2.12878259e+01 -8.33049242e+00 -1.62810918e+00
 -5.59767570e+00  1.93851526e+00  4.29554663e+00  1.43468805e+00
  3.31308410e+00  9.10744518e+00  7.26026900e+00  4.36605486e+00
  6.74965400e+00  6.45715919e+00  3.37528741e+00  3.57357678e+00
  6.07269595e+00  4.23398197e+00  8.18809266e-01  5.92119830e-01
  9.24074405e-01  1.83617648e+00  8.76464246e-01 -6.20209776e-01
  9.06819193e-01 -6.41920124e-01 -3.73536014e+00 -2.77103059e+00
 -1.02124542e+00 -7.72602204e-01 -2.47426254e+00 -2.58333636e+00
 -1.77576253e-01 -2.00496538e+00 -4.00762450e+00  1.51976631e-02]","[0.6236274  0.57363255 0.59891579 0.62500619 0.63692084 0.65301354
 0.71211756 0.62997175 0.60005647 0.60664473 0.62261799 0.77648077]"
6,pittsburg 1,negative,"[-3.81904179e+02  7.03678776e+01 -4.69866850e+01 -7.29357576e+00
  5.67264534e+00 -1.36387339e+01 -1.38996819e+00  4.11514448e+00
  1.72900830e+00  3.95583173e+00  2.53287407e+00  1.44718989e+00
  4.85095337e+00  8.25244188e+00  6.23373892e+00  6.16105509e+00
  7.24935671e+00  3.54371205e+00  2.42315554e+00  6.67472024e+00
  9.07229624e+00  4.03521856e+00  5.44867915e-01  2.95825039e+00
  2.05548101e+00  2.98326531e+00  4.35453927e+00  2.39728863e+00
  5.01567060e+00  2.03804518e+00 -4.23739772e+00 -7.97247357e-01
  2.34863273e+00  1.96533445e+00  7.79382440e-01  1.87361588e-01
  1.59623831e+00 -1.99644412e+00 -2.93385832e+00  2.49242900e+00]","[0.89305789 0.59797586 0.57036145 0.59111901 0.60337633 0.57321859
 0.64859619 0.68230771 0.55816298 0.52014869 0.55464123 0.74126582]"
7,pittsburg 1,negative,"[-3.16197471e+02  8.53861221e+01 -5.81545286e+01 -1.73867196e+01
  9.87461061e+00 -1.37702927e+01 -5.58194180e+00  6.21187241e+00
 -1.69093423e+00  3.41465589e+00  8.47632802e+00  1.19119118e+00
  3.20522857e+00  1.24122542e+01  7.22588770e+00  1.80533520e+00
  6.46948409e+00  5.30855902e+00  4.44939387e-01  2.49884031e+00
  4.84100883e+00  1.02917239e+00 -2.64825537e+00 -2.70076549e+00
 -1.59733161e+00 -3.75289532e-01 -2.41181813e+00 -2.68286447e+00
  1.67906223e-01 -3.29194023e+00 -7.72285715e+00 -5.52179312e+00
 -3.03609017e+00 -2.68571344e+00 -4.07718707e+00 -4.67369250e+00
 -2.26655639e+00 -3.28770692e+00 -4.75396961e+00  3.36737515e-01]","[0.54413035 0.52260174 0.54239985 0.58233606 0.58439612 0.65283386
 0.65916259 0.5516506  0.53916937 0.53938441 0.68521821 0.80435323]"
8,pittsburg 1,negative,"[-3.89585365e+02  6.30919941e+01 -3.22633903e+01 -8.15324495e+00
  7.98727926e+00 -5.53096839e+00  3.72335899e-01  8.27244616e+00
  3.99586565e+00  4.88636855e+00  5.79511426e+00  1.34098021e+00
  3.77028814e+00  1.00755082e+01  6.34141757e+00  3.05106683e+00
  4.98245427e+00  2.78405487e+00  3.88195286e-01  4.34247373e+00
  7.19306478e+00  1.78605045e+00 -1.98565585e+00 -9.34527659e-01
 -1.77410899e+00 -1.62059094e-01  6.99324514e-01 -9.23539578e-01
  1.29824182e+00 -1.61666788e+00 -7.30207437e+00 -4.39804247e+00
 -1.06837092e+00 -1.02619598e+00 -1.93218106e+00 -2.36012932e+00
 -1.25225999e+00 -3.61634487e+00 -3.86854211e+00  2.17079216e+00]","[0.76835658 0.56266721 0.53724145 0.57467448 0.57203855 0.58324564
 0.71037483 0.63135974 0.52750546 0.51840043 0.56445027 0.90390151]"
9,pittsburg 1,negative,"[-4.71118064e+02  3.85804242e+01 -3.57497447e+00  3.80215226e+00
  5.74625919e+00  3.29750233e+00  8.09876119e+00  1.15453694e+01
  1.10851496e+01  7.62715052e+00  4.47024951e+00  1.16478104e+00
  3.91596054e+00  8.10062754e+00  4.31727847e+00  4.64140985e+00
  4.12229817e+00 -2.22155306e+00 -3.86007731e-01  7.40775954e+00
  9.31381136e+00  1.35151185e+00 -2.48184549e+00  6.95407439e-01
 -1.73115047e+00  1.37660960e+00  5.26901440e+00  1.86744662e+00
  4.93125043e+00  1.49039921e+00 -6.24192977e+00 -1.36021693e+00
  2.55212291e+00  3.10953752e+00  3.04000920e+00  1.43061063e+00
  1.02246849e+00 -3.63687140e+00 -2.20082774e+00  4.79082682e+00]","[0.61155343 0.52598182 0.47636839 0.54119235 0.49156863 0.55132349
 0.72796475 0.50592683 0.4111167  0.42870076 0.5471663  0.97220645]"
