,file_name,good_exception,audio_recognition
0,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-01.wav,Exception,
1,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-02.wav,Good,the district maybe we can get a hold of them Wiley Avenue
2,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-03.wav,Good,West Virginia
3,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-04.wav,Exception,
4,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-05.wav,Exception,
5,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-06.wav,Good,individual
6,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-07.wav,Exception,
7,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-08.wav,Exception,
8,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-09.wav,Exception,
9,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-10.wav,Exception,
10,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-11.wav,Exception,
11,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-12.wav,Exception,
12,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-13.wav,Exception,
13,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-14.wav,Exception,
14,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-15.wav,Exception,
15,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-16.wav,Exception,
16,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-17.wav,Exception,
17,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-18.wav,Exception,
18,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-19.wav,Exception,
19,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-20.wav,Exception,
20,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-21.wav,Exception,
21,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-22.wav,Exception,
22,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-23.wav,Exception,
23,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-24.wav,Exception,
24,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-25.wav,Exception,
25,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-26.wav,Good,Southbound on Warwick
26,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-27.wav,Exception,
27,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-28.wav,Exception,
28,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-29.wav,Exception,
29,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-30.wav,Exception,
30,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-31.wav,Exception,
31,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-32.wav,Exception,
32,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-33.wav,Exception,
33,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-34.wav,Exception,
34,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-35.wav,Exception,
35,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-36.wav,Exception,
36,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-37.wav,Exception,
37,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-38.wav,Exception,
38,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-39.wav,Exception,
39,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-40.wav,Exception,
40,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-41.wav,Good,2021
41,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-42.wav,Exception,
42,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-43.wav,Exception,
43,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-44.wav,Exception,
44,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-45.wav,Good,stop
45,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-46.wav,Exception,
46,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-47.wav,Exception,
47,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-48.wav,Exception,
48,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-49.wav,Exception,
49,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-50.wav,Exception,
50,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-51.wav,Exception,
51,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-52.wav,Exception,
52,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-53.wav,Exception,
53,/home/ubuntu/new_audios/Neal Manahan - negative_baltimore_chase_-54.wav,Exception,
